15
0	4	-1	1	1	-3	-4	-3	1	-4	-2	-3	-6	1	2	
20
0	3100	3000	1200	7200	1100	1300	2800	2000	3500	1600	2500	2600	900	4400	
3100	1e+009	2500	2700	6800	2200	2300	1500	3200	4300	2800	2300	3600	2600	2400	
1800	3000	1e+009	3000	5200	2900	3100	2400	1800	1800	1500	2300	1100	2500	3900	
2100	3200	3100	1e+009	7300	1200	1400	2900	2100	3600	1700	2600	2700	1000	4500	
7500	7700	6500	8700	1e+009	8600	8800	7400	7500	8300	7200	8000	7600	8100	6900	
2900	2000	2800	800	6800	1e+009	200	1700	2900	4400	2500	2600	3500	1500	3400	
2800	1800	2700	1200	6600	1300	1e+009	1600	2800	4300	2500	2400	3500	1300	3200	
2500	2000	1900	2800	5800	2300	2500	1e+009	2500	3700	2100	900	2900	2700	3400	
2400	1900	1800	1800	5900	1900	2000	1600	1e+009	3500	2000	500	2800	2600	3300	
3300	4500	2600	4200	7100	3400	3600	3800	3300	1e+009	2900	3800	1200	2900	5300	
400	2300	1500	1600	5600	1500	1700	2000	400	2000	1e+009	900	1100	1000	3700	
2800	1400	2200	2200	6200	1700	1800	1200	2800	4000	2500	1e+009	3200	2100	2800	
2100	4000	2400	3100	6400	2300	2400	3600	2100	1200	1800	2600	1e+009	1700	5100	
1500	2700	2600	1600	6700	800	900	2500	1500	3000	1200	2000	2200	1e+009	4100	
4100	2500	3500	4100	6200	3600	3800	2400	4100	5200	3700	3200	4500	4000	1e+009	

