116
0	-2	-6	-1	-1	-2	4	-3	-2	2	-1	-1	-2	-4	-3	1	2	1	1	-4	-5	-2	-2	4	-5	-4	-3	-3	3	-9	1	-1	1	1	1	3	-1	-3	-1	4	5	-1	-1	4	-6	1	-2	2	2	1	2	1	2	1	1	-3	-2	3	-1	-6	3	-1	-1	4	-3	-2	3	-1	1	-3	-2	1	-5	4	-2	3	-1	-3	4	-2	3	3	2	1	-3	-1	-9	-1	-4	-4	-7	3	-2	4	-1	-3	-1	1	-1	-1	-1	-2	-2	-2	-1	-1	-3	-3	-1	-4	1	2	-5	-2	-3	-2	
30
0	879	2411	1304	1932	2718	3169	2583	3603	4944	4332	4786	5301	5248	4812	4991	5691	5258	6384	6249	6286	7054	5459	5724	5470	5950	6072	6124	6304	6106	6534	7117	7300	6542	6840	6053	5618	6045	6183	6278	6903	7373	7783	8240	8734	9752	9846	8982	8248	7781	7028	6488	6486	6615	6627	6684	7165	7155	7207	7213	8138	8066	8544	9024	8947	9186	9942	7893	8168	8624	7708	8254	8177	8854	10525	8822	9558	9673	10666	11959	8014	8705	10110	8510	8314	8525	8721	9637	9046	9239	9262	9582	10287	10916	11800	11916	12669	12905	15806	13483	14814	15424	15667	16623	17434	16037	18498	19127	17489	16707	15414	16177	15442	14820	14122	14170	
879	9.99999e+008	1539	2182	2227	2060	2511	3309	4482	4173	3674	4128	4643	4590	4023	4118	4902	4386	5596	5461	5497	6265	4801	5066	4812	5292	5451	5465	5646	5448	5876	6458	6642	5884	6182	5395	4960	5387	5412	5552	6177	6647	7057	7514	8008	9337	9120	8256	7522	7055	6302	5761	5827	5956	5969	6026	6507	6497	6548	6554	7479	7408	7886	8366	8289	8528	9284	7235	7510	7966	7050	7596	7519	8196	9867	8164	8900	9015	10008	11301	7226	7916	9321	7722	7525	7736	7933	8849	8258	8451	8474	8794	9499	10128	11012	11127	11881	12116	15018	12695	14026	14636	14879	15835	16646	15249	17710	18339	16701	15919	14626	15389	14654	14034	13334	13445	
2411	1539	9.99999e+008	2396	1965	1070	2256	3054	4364	3030	2253	2655	3222	3117	2681	2889	3560	4527	4254	4118	4155	4923	3380	3593	3669	3871	3993	4044	4225	4027	4455	5037	5221	4463	4761	4252	3817	4244	4269	4409	5034	5504	5914	6371	6865	8194	7977	7113	6379	5912	5159	4618	4685	4814	4826	4883	5364	5354	5406	5412	6337	6265	6743	7223	7146	7385	8141	6092	6367	6545	5629	6175	6098	6775	8724	6743	7479	7594	8587	10132	5883	6574	7979	6379	6183	6394	6590	7506	6915	7108	7131	7451	8156	8785	9669	9785	10539	10774	13675	11352	12683	13293	13536	14492	15303	13906	16367	16996	15358	14576	13283	14046	13311	12691	11991	12091	
1304	2182	2408	9.99999e+008	628	1415	1865	1762	2783	3640	3029	3483	3998	3945	3508	3716	4387	5979	5081	4946	4982	5750	4155	4421	4167	4646	4769	4820	5000	4802	5230	5813	5996	5238	5536	4749	4315	4742	4879	4974	5599	6069	6479	6936	7430	8759	8542	7678	6944	6477	5724	5184	5182	5311	5324	5380	5861	5851	5903	5909	6834	6763	7241	7721	7643	7882	8638	6589	6864	7321	6405	6951	6874	7551	9221	7519	8255	8370	9363	10655	6711	7401	8806	7207	7010	7221	7418	8334	7743	7936	7959	8279	8984	9613	10497	10612	11366	11601	14503	12180	13511	14121	14364	15320	16131	14734	17195	17824	16186	15404	14111	14874	14139	13517	12819	12867	
1920	2449	1965	616	9.99999e+008	972	1423	1419	2440	3198	2586	3040	3555	3502	3066	3273	3945	5536	4638	4503	4540	5308	3713	3978	3724	4204	4326	4377	4558	4360	4788	5370	5554	4796	5094	4307	3872	4299	4437	4532	5157	5627	6037	6494	6988	8317	8100	7236	6502	6035	5282	4742	4740	4869	4881	4938	5419	5409	5461	5467	6392	6320	6798	7278	7201	7440	8196	6147	6422	6878	5962	6508	6431	7108	8779	7076	7812	7927	8920	10213	6268	6959	8364	6764	6568	6779	6975	7891	7300	7493	7516	7836	8541	9170	10054	10170	10923	11159	14060	11737	13068	13678	13921	14877	15688	14291	16752	17381	15743	14961	13668	14431	13696	13074	12376	12424	
2707	2037	1070	1403	972	9.99999e+008	1255	2053	3363	2520	1691	2145	2660	2607	2171	2379	3050	4641	3743	3608	3645	4413	2818	3083	3159	3309	3431	3483	3663	3465	3893	4476	4659	3901	4199	3742	3307	3734	3759	3899	4524	4994	5404	5861	6355	7684	7467	6603	5869	5402	4649	4108	4265	4394	4316	4373	4854	4844	4947	4953	5878	5755	6233	6713	6636	6875	7631	5582	5857	5983	5067	5613	5536	6213	8214	6181	6917	7032	8025	9570	5373	6064	7469	5869	5673	5884	6080	6996	6405	6598	6621	6941	7646	8275	9159	9275	10028	10264	13165	10842	12173	12783	13026	13982	14793	13396	15857	16486	14848	14066	12773	13536	12801	12179	11481	11529	
3135	2736	2256	1831	1215	1259	9.99999e+008	798	2108	1775	1323	1725	2292	2187	2453	3187	4127	5718	3997	3862	3840	4667	2449	2663	2414	2940	3063	3114	3294	3096	3525	4107	4249	3533	3786	2997	2562	2989	3014	3109	3734	4204	4614	5071	5565	6894	6677	5813	5079	4612	3859	3319	3430	3559	3571	3628	4109	4099	4151	4157	5082	5010	5488	5968	5891	6130	6886	4837	5112	5576	4661	5206	5168	5807	7469	5813	6549	6664	7657	8903	5627	6340	7736	6123	5927	6138	6334	7051	6659	6852	6875	7195	7620	8529	9413	9543	10282	10533	13419	11096	12427	13037	13280	14236	15047	13454	15982	16612	14954	14124	12831	13274	12796	11811	11735	11161	
2583	3462	3054	1762	1419	2057	798	9.99999e+008	1310	2573	2121	2523	3090	2985	3251	3985	4925	6516	4795	4660	4638	5465	3247	3461	3212	3738	3861	3912	4092	3894	4323	4905	5047	4331	4584	3795	3360	3787	3812	3907	4532	5002	5412	5869	6363	7459	7475	6611	5877	5410	4657	4117	4228	4357	4369	4426	4907	4897	4949	4955	5880	5808	6286	6766	6689	6928	7684	5635	5910	6374	5459	6004	5966	6605	8267	6611	7347	7462	8455	9701	6425	7138	8534	6921	6725	6936	7132	7849	7457	7650	7673	7993	8418	9327	10211	10341	11080	11331	14217	11894	13225	13835	14078	15034	15845	14252	16780	17410	15752	14922	13629	14072	13594	12609	12533	11959	
